,name,post at,tweets,tweets_clean,sentiment
111,FikiLukmana,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/XwTzCBPGdf",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
112,syafrilnababan1,2022-03-03,"... Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/YY5PhyKfou",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
113,KarinaSyafira69,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru

Prokes Jangan Kendor
https://t.co/SP20AaRmy6",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
114,KayanganTifa,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru.
Prokes Jangan Kendor
https://t.co/0glB7W64md",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
115,DianHernawati5,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru

Prokes Jangan Kendor
https://t.co/DSerXvc7s8",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
116,pinkyguuy,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/os4GCvPFct",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
117,WellOne11,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru

Prokes Jangan Kendor
https://t.co/Uon5pOI2y2",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
118,SujanaThomas,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/MleY9TiGEg",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
119,HugiPamungkas,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/Wu6aRvoWhg",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
120,Lisa18119565,2022-03-03,"https://t.co/Adb5fxfi2W
Prokes Jangan Kendor",prokes jangan kendor,negatif
121,BagaraSuka,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/0VLYBDJoJl",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
122,JaneMerah,2022-03-03,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
Prokes Jangan Kendor
https://t.co/8e80GwQuV0",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
123,arif_rintang,2022-03-03,"Adapun nantinya sistem keamanan Ibu Kota Negara (IKN) baru dengan nama Nusantara akan berbasis internet. 
Sistem keamanan itu bersifat ""smart security"" yang dipadukan dengan perkembangan teknologi mumpuni, Hal ini dilakukan utk meningkatkan pelayanan. 

@Suharso_M @Jiwamudaindo",adapun nantinya sistem keamanan ibu kota negara ibu kota negara baru nama nusantara berbasis internet sistem keamanan bersifat smart security dipadukan perkembangan teknologi mumpuni dilakukan utk meningkatkan pelayanan,positif
124,Monalatu1,2022-03-02,"Kepala BIN Bicara Intelligent City di Ibu Kota Negara Baru
https://t.co/Rbq5eZ9COp

Prokes Jangan Kendor",kepala bin bicara intelligent city ibu kota negara baru prokes jangan kendor,negatif
125,MediaNasional1,2022-03-02,Bupati Nias Dukung Ibu Kota Negara (IKN) Baru https://t.co/L7rLuaVmRk,bupati nias dukung ibu kota negara ibu kota negara baru,positif
126,Mahdiar85505384,2022-03-02,"Dalam hal ini Dedi memastikan tiap tiap personel anggota polri bersedia ditugaskan di mana saja oleh pimpinan, dan tidak ada personel Polri yang menolak ditugaskan Ibu Kota Negara (IKN) baru seperti yang disinggung oleh presiden.  https://t.co/tLZnYw31iF",dedi memastikan tiap tiap personel anggota polri bersedia ditugaskan mana pimpinan personel polri menolak ditugaskan ibu kota negara ibu kota negara baru disinggung presiden,negatif
127,haibundacom,2022-03-02,"Besaran tunjangan Pegawai Negeri Sipil (PNS) yang akan pindah ke Ibu Kota Negara (IKN) baru kabarnya bakal berubah menyesuaikan kebutuhan di sana, Bunda. https://t.co/mS0pRvcGPK",besaran tunjangan pegawai negeri sipil pns pindah ibu kota negara ibu kota negara baru kabarnya bakal berubah menyesuaikan kebutuhan sana bunda,netral
128,langityang7,2022-03-02,"💢Kenapa Ibu Kota Baru di Kalimantan 💢

Ada 6 alasan kenapa Ibukota Negara Baru pindah ke Kalimantan :

1. Penduduk Indonesia 🇮🇩 yg tinggal di pulau Jawa sudah terlalu padat.
Pada th 2015 sekitar  56,56% atau 150,18 juta jiwa penduduk tinggal dipulau

@Suharso_M @Jiwamudaindo https://t.co/smMGeNwhAr",ibu kota baru kalimantan alasan ibu kota negara baru pindah kalimantan penduduk indonesia tinggal pulau jawa terlalu padat th juta jiwa penduduk tinggal dipulau,negatif
129,arif_rintang,2022-03-02,"Perpindahan Ibu Kota Negara ke Kalimantan trdengar sampai negeri tetangga (Malaysia). 
Kalimantan sebagai Ibu kota Indonesia yg baru akan lbh sering didengar, diberitakan&amp;dikaitkan dgn Indonesia sehingga akn lebih populer dimata dunia bahwa Kalimantan adh Indonesia

@Suharso_M https://t.co/cQTjK76bN4",perpindahan ibu kota negara kalimantan trdengar negeri tetangga malaysia kalimantan ibu kota indonesia baru lbh sering didengar diberitakan amp dikaitkan dgn indonesia lebih populer dimata dunia kalimantan adh indonesia,netral
130,wadulanjim,2022-03-02,"Mari bersama kita dukung pembangunan ibu kota baru, perpindahan ibu kota baru akan mendorong pertumbuhan ekonomi negara dan daerah https://t.co/LKz9V0OY9O",bersama dukung pembangunan ibu kota baru perpindahan ibu kota baru mendorong pertumbuhan ekonomi negara daerah,positif
131,MrWiseMan2020,2022-03-02,"ujar Presiden dalam sambutannya pada Program Beranda Nusantara Menuju Ibu Kota Negara Baru yang disiarkan di Radio Republik Indonesia, sebagaimana ditayangkan YouTube Sekretariat Presiden, pada Rabu, 23 Februari 2022.
@jokowi https://t.co/XpwoD9tQZ5",ujar presiden sambutannya program beranda nusantara menuju ibu kota negara baru disiarkan radio republik indonesia sebagaimana ditayangkan youtube sekretariat presiden rabu februari,netral
132,terkinidotid,2022-03-02,"Banyak ASN Enggan Pindah ke IKN dan Pilih Jadi PNS di Jakarta, Begini Tanggapan Anies Baswedan: Aparatur Sipil Negara (ASN) dikabarkan tidak ingin pindah ke Ibu Kota Negara baru. https://t.co/Wg6mnZCUVF #News #asn #pindahkeikn",banyak asn enggan pindah ibu kota negara pilih jadi pns jakarta begini tanggapan anies baswedan aparatur sipil negara asn dikabarkan pindah ibu kota negara baru news asn pindahkeikn,netral
133,pelitabangsa45,2022-03-02,"Kenapa Ibu Kota Negara Baru di Kalimantan ?
Berikut penjelasan dr mantan Menteri PPN, Bambang Brodjonegoro

Jadi ada 3 opsi yg diajukan :

1. Tetap di jakarta tp membangun government district
2. Pindah tdk jauh dr Jakarta
3. Pindah keluar Jawa

@Suharso_M 
@Jiwamudaindo https://t.co/A2KoHwQAIF",ibu kota negara baru kalimantan berikut penjelasan dr mantan menteri ppn bambang brodjonegoro jadi opsi diajukan tetap jakarta tp membangun government district pindah jauh dr jakarta pindah keluar jawa,positif
134,ary_moto,2022-03-02,"Undang-Undang ttg Ibu Kota Negara (UU IKN) akan menjadi dasar pembangunan IKN di Kalimantan Timur. Menteri PPN/Kepala Bappenas Suharso Monoarfa mengatakan, pembangunan IKN yang mengusung “Kota Dunia u/ Semua” tsb mjd awal peradaban baru bagi Indonesia.

https://t.co/PQlMcV97bp",undang undang ttg ibu kota negara uu ibu kota negara menjadi dasar pembangunan ibu kota negara kalimantan timur menteri ppn kepala bappenas suharso monoarfa mengatakan pembangunan ibu kota negara mengusung kota dunia semua tersebut menjadi awal peradaban baru indonesia,positif
135,MinakMegaow,2022-03-02,"https://t.co/r8CxK3LVjy
Bendungan Sepaku Semoi yang berada di Desa Tengin Baru,untuk mendukung kebutuhan air baku di kawasan Ibu Kota Negara (IKN) Nusantara serta Balikpapan, juga untuk mereduksi datangnya banjir.

Jokowi Gas Pol Infrastruktur https://t.co/x6eL4Sa9zb",bendungan sepaku semoi berada desa tengin baru mendukung kebutuhan air baku kawasan ibu kota negara ibu kota negara nusantara balikpapan mereduksi datangnya banjir jokowi gas pol infrastruktur,negatif
136,ary_moto,2022-03-02,"PUPR membangun Bendungan Sepaku Semoi yang berada di Desa Tengin Baru, Kaltim. Pembangunan bendungan ini, selain untuk mendukung kebutuhan air baku di kawasan Ibu Kota Negara (IKN) Nusantara serta Balikpapan, juga untuk mereduksi datangnya banjir.

https://t.co/U0kZamHhRl",pupr membangun bendungan sepaku semoi berada desa tengin baru kaltim pembangunan bendungan mendukung kebutuhan air baku kawasan ibu kota negara ibu kota negara nusantara balikpapan mereduksi datangnya banjir,positif
137,aiiptu,2022-03-02,"🌟 Kenapa Ibu Kota Baru Di Kalimantan

Menteri PPN/Bappenas Bambang Brodjonegoro Periode 27 Juli 2016 s/d 20 Oktober 2019 menjelaskan berdasarkan kajian yang telah dilakukan, pihaknya telah memetakan tiga opsi terkait rencana pemindahan ibu kota negara.

@Suharso_M  @Jiwamudaindo https://t.co/qvt7vcuNf3",ibu kota baru kalimantan menteri ppn bappenas bambang brodjonegoro periode juli s d oktober menjelaskan berdasarkan kajian dilakukan pihaknya memetakan tiga opsi terkait rencana pemindahan ibu kota negara,netral
138,BelajarGeologi,2022-03-02,Apakah Lokasi Ibukota baru aman dari bencana geologi?? https://t.co/SlBzwJe82w,lokasi ibu kota baru aman bencana geologi,netral
139,hoax_bukan,2022-03-02,"Gubernur DKI Jakarta Anies Baswedan menanggapi isu banyaknya PNS enggan dipindah ke ibu kota negara baru dan ingin menjadi PNS DKI Jakarta.

Klo ngak mau ya Pecat aja.Usman kasong ini lontong  https://t.co/GgBX4twmtE",gubernur dki jakarta anies baswedan menanggapi isu banyaknya pns enggan dipindah ibu kota negara baru menjadi pns dki jakarta klo ngak mau pecat usman kasong lontong,netral
140,jtvnewscom,2022-03-02,Presiden Joko Widodo mengajak generasi muda untuk pindah dan menetap di Ibu Kota Negara (IKN) baru di Kalimantan Timur. Jokowi juga menawarkan insentif bagi anak muda yang bekerja di IKN. https://t.co/fqrAa8ZPwS,presiden joko widodo mengajak generasi muda pindah menetap ibu kota negara ibu kota negara baru kalimantan timur jokowi menawarkan insentif anak muda bekerja ibu kota negara,netral
141,_Kemuning_senja,2022-03-02,"@Jul3aRhma3 Masyarakat Diminta Kawal Terus Pemindahan Ibu Kota Negara Baru

https://t.co/wQkWCqB7Ok

#HargaMahal_RezimBebal 
#HargaMahal_RezimBebal",masyarakat diminta kawal terus pemindahan ibu kota negara baru hargamahal rezimbebal hargamahal rezimbebal,netral
142,CitraPurnama92,2022-03-02,Stop Propaganda Penolakan Ibu Kota Negara Baru https://t.co/YeW8apyntH,stop propaganda penolakan ibu kota negara baru,netral
143,MongabayID,2022-03-02,Pesisir Ibu Kota Negara Baru Dijanjikan Akan Berkelanjutan https://t.co/wBbYibCa5u,pesisir ibu kota negara baru dijanjikan berkelanjutan,positif
144,TribunLombokcom,2022-03-02,"Presiden Joko Widodo geram dengan adanya anggota TNI/Polri yang berbicara soal ketidaksukaan terhadap kebijakan pemindahan ibu kota negara di Grup WA.

#Jokowi #JokoWidodo #TNI #Polri #IKN #IbuKotaBaru #WAG

https://t.co/lNroy1GGe3",presiden joko widodo geram adanya anggota tni polri berbicara soal ketidaksukaan kebijakan pemindahan ibu kota negara grup whatsapp jokowi jokowidodo tni polri ibu kota negara ibukotabaru whatsapp group,negatif
145,voidotid,2022-03-02,Pimpinan TNI Angkatan Darat berencana membentuk satuan-satuan setingkat Komando Distrik Militer (Kodim) di lokasi ibu kota negara (IKN) baru di Kalimantan Timur. https://t.co/GqsHN6j0BO,pimpinan tni angkatan darat berencana membentuk satuan satuan setingkat komando distrik militer kodim lokasi ibu kota negara ibu kota negara baru kalimantan timur,netral
146,KerjaHasil_id,2022-03-02,"Mantan Kepala Badan Perencanaan Pembangunan Nasional Andrinof Chaniago menyebut ibu kota negara (IKN) di Kalimantan menjadi mesin baru perjalanan panjang bagi Republik Indonesia.

𝗝𝗼𝗸𝗼𝘄𝗶 𝗚𝗮𝘀 𝗣𝗼𝗹 𝗜𝗻𝗳𝗿𝗮𝘀𝘁𝗿𝘂𝗸𝘁𝘂𝗿 https://t.co/ujm0aNvnow",mantan kepala badan perencanaan pembangunan nasional andrinof chaniago menyebut ibu kota negara ibu kota negara kalimantan menjadi mesin baru perjalanan panjang republik indonesia,positif
147,azkadotid,2022-03-02,"Tak Ada Alasan ASN Tolak Pindah ke Ibu Kota Negara Baru, Menteri Tjahjo: Hukumnya Adalah Wajib! https://t.co/b8eYr2dTd0",tak alasan asn tolak pindah ibu kota negara baru menteri tjahjo hukumnya wajib,negatif
148,anggita_ayu27,2022-03-02,"Pernyataan dukungan Ibu kota negara baru di Kaltim
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/VMl5d82wTt",pernyataan dukungan ibu kota negara baru kaltim ibu kota negara ibu kota negara semangat nusantara,netral
149,WeAre_GARUDA,2022-03-02,"Indonesia Sentris.. 
Terwujudkan
Dgn pemindahan ibukota baru 
IKN

@PlateJohnny 
@kemkominfo 

https://t.co/pf8hez3crI",indonesia sentris terwujudkan dgn pemindahan ibu kota baru ibu kota negara,positif
150,Beritasatu,2022-03-02,"Kementerian PANRB masih mematangkan skenario pemindahan ASN ke Ibu Kota Negara (IKN) baru.

Selengkapnya: 👇 #ASN https://t.co/YogOOq757p",kementerian panrb mematangkan skenario pemindahan asn ibu kota negara ibu kota negara baru selengkapnya asn,netral
151,dinodachi03,2022-03-02,"@AcehSelatanSatu @PurwokoYusup UDAHLAH WOYYYYYY @jokowi !!!!!!!!!!! KALAU TERJADI BENCANA DI IBU KOTA NEGARA BARU DI KALIMANTAN, LEBIH BAIK LO MENYERAH AJA !!!!!!!!!!!!",udahlah woyyyyyy kalau terjadi bencana ibu kota negara baru kalimantan lebih baik lo menyerah,negatif
152,kaukutangkap_,2022-03-02,Kalimantan Timur dinilai menjadi lokasi tepat untuk menjadi IBU KOTA NEGARA baru karena minimnya potensi bencana alam yg terjadi di sana https://t.co/DhmjjRXx3k,kalimantan timur dinilai menjadi lokasi tepat menjadi ibu kota negara baru minimnya potensi bencana alam terjadi sana,netral
153,MonitorJadul,2022-03-02,Siapapun jangan terprovokasi dengan kelompok-kelompok yang menolak Ibu Kota Negara baru. Gerakan Disiplin Masker https://t.co/xXKdCvLodF,siapapun jangan terprovokasi kelompok kelompok menolak ibu kota negara baru gerakan disiplin masker,negatif
154,BeritaNew3,2022-03-02,"Jangan terprovokasi penolakan ibu kota negara baru
Gerakan Disiplin Masker https://t.co/4S7CMGMZqf",jangan terprovokasi penolakan ibu kota negara baru gerakan disiplin masker,negatif
155,DandiHandoko,2022-03-02,Mari kita dukung pemindahan Ibu Kota Negara yang baru demi pemerataan pembangunan di seluruh Indonesia. Gerakan Disiplin Masker https://t.co/9Ud5hdSLHT,dukung pemindahan ibu kota negara baru pemerataan pembangunan seluruh indonesia gerakan disiplin masker,positif
156,DandiHandoko,2022-03-02,Mari kita dukung pemindahan Ibu Kota Negara yang baru demi pemerataan pembangunan di seluruh Indonesia. Gerakan Disiplin Masker https://t.co/Oe1CyNftqr,dukung pemindahan ibu kota negara baru pemerataan pembangunan seluruh indonesia gerakan disiplin masker,positif
157,DandiHandoko,2022-03-02,Mari kita dukung pemindahan Ibu Kota Negara yang baru demi pemerataan pembangunan di seluruh Indonesia. Gerakan Disiplin Masker https://t.co/B5zEbUryBn,dukung pemindahan ibu kota negara baru pemerataan pembangunan seluruh indonesia gerakan disiplin masker,positif
158,DandiHandoko,2022-03-02,Mari kita dukung pemindahan Ibu Kota Negara yang baru demi pemerataan pembangunan di seluruh Indonesia. Gerakan Disiplin Masker https://t.co/tkcMj6fpM0,dukung pemindahan ibu kota negara baru pemerataan pembangunan seluruh indonesia gerakan disiplin masker,positif
159,SaniaNurRahma1,2022-03-02,Jangan percaya kaum menyesatkan! Ibu Kota Negara yang baru menjadi kepentingan masa depan bangsa dan akan menjadi sejarah serta ikon baru Indonesia. Gerakan Disiplin Masker https://t.co/kwKDAV1VYD,jangan percaya kaum menyesatkan ibu kota negara baru menjadi kepentingan masa depan bangsa menjadi sejarah ikon baru indonesia gerakan disiplin masker,netral
160,SaniaNurRahma1,2022-03-02,Jangan percaya kaum menyesatkan! Ibu Kota Negara yang baru menjadi kepentingan masa depan bangsa dan akan menjadi sejarah serta ikon baru Indonesia. Gerakan Disiplin Masker https://t.co/DF3Gw6bdhF,jangan percaya kaum menyesatkan ibu kota negara baru menjadi kepentingan masa depan bangsa menjadi sejarah ikon baru indonesia gerakan disiplin masker,netral
161,SaniaNurRahma1,2022-03-02,Jangan percaya kaum menyesatkan! Ibu Kota Negara yang baru menjadi kepentingan masa depan bangsa dan akan menjadi sejarah serta ikon baru Indonesia. Gerakan Disiplin Masker https://t.co/c459xKitIP,jangan percaya kaum menyesatkan ibu kota negara baru menjadi kepentingan masa depan bangsa menjadi sejarah ikon baru indonesia gerakan disiplin masker,netral
162,SaniaNurRahma1,2022-03-02,Jangan percaya kaum menyesatkan! Ibu Kota Negara yang baru menjadi kepentingan masa depan bangsa dan akan menjadi sejarah serta ikon baru Indonesia. Gerakan Disiplin Masker https://t.co/4ikLUY3dpq,jangan percaya kaum menyesatkan ibu kota negara baru menjadi kepentingan masa depan bangsa menjadi sejarah ikon baru indonesia gerakan disiplin masker,netral
163,SlametM0202,2022-03-02,"@CNNIndonesia Hidup tidak ada sempurna tapi tujuan negara memindahkan ibu kota itu adalah tujuan untuk menuju Indonesia baru kenapa dimasalahkan .
Negara yg punya hajat untuk.masa depan bangsa , kenapa tdk dukung tapi selalu korek kesalahan , ini selalu yg terjadi",hidup sempurna tujuan negara memindahkan ibu kota tujuan menuju indonesia baru dimasalahkan negara punya hajat masa depan bangsa dukung selalu korek kesalahan selalu terjadi,positif
164,forjakeu,2022-03-02,"Dialog Pemindahan Ibu Kota Negara Baru sudah beberapa kali di lakukan bahkan melibatkan beberapa elemen Masyarakat,

Bagaimana bisa ada Statement mengatakan bahwa Dialog Pemindahan IKN belum pernah di lakukan secara Masif..!!

Yuk kita sama sama simak video di bawah ini.. 😁 https://t.co/grjlUkPIQ8",dialog pemindahan ibu kota negara baru beberapa kali lakukan bahkan melibatkan beberapa elemen masyarakat bagaimana statement mengatakan dialog pemindahan ibu kota negara pernah lakukan masif yuk sama sama simak video bawah,netral
165,bersihkan_indo,2022-03-02,"Alasan pemindahan ibu kota negara baru, 
menghindari bencana untuk mendatangi bencana baru. https://t.co/aNrEoxAti6",alasan pemindahan ibu kota negara baru menghindari bencana mendatangi bencana baru,positif
166,chinta_chintata,2022-03-02,"Seperti nya, Dialog Pemindahan Ibu Kota Negara Baru telah beberapa kali di lakukan 🤣..
Bagaimana bisa ada Statement seperti ini.. !!

Ayo ACH,.. disimak siapa tahu lupa atau memang tidak pernah tahu, sini yuk di kasih tahu.

Simak ya BESTie.. 😁 https://t.co/xXd9EokoYT",nya dialog pemindahan ibu kota negara baru beberapa kali lakukan bagaimana statement ayo ach disimak siapa tahu lupa memang pernah tahu sini yuk kasih tahu simak bestie,netral
167,Istanadaging,2022-03-02,"@republikaonline @msaid_didu Ngga penting ini, yang penring itu Ibu kota negara baru....",ngga penting penring ibu kota negara baru,netral
168,Agathis08685249,2022-03-01,"Semoga apa yang direncanakan pemerintah berjalan lancar termasuk pemilu 2024, n konsisten #TolakPenundaanPemilu
 #TolakPenundaanPemilu
Sbg rakyat memohon kiranya pemerintah tidak lagi menambah utang negara, negeri ini kaya kok.
https://t.co/atbeDwWSKo",semoga apa direncanakan pemerintah berjalan lancar termasuk pemilu n konsisten tolakpenundaanpemilu tolakpenundaanpemilu sbg rakyat memohon kiranya pemerintah menambah utang negara negeri kaya kok,netral
169,kentung_mbah,2022-03-01,"Undang-Undang tentang Ibu Kota Negara akan menjadi dasar pembangunan IKN di Kalimantan Timur. Menteri PPN/Kepala Bappenas Suharso Monoarfa mengatakan, pembangunan IKN yg mengusung “Kota Dunia untuk Semua” tersebut menjadi awal peradaban baru bagi Indonesia
https://t.co/npWl1d4dEI",undang undang ibu kota negara menjadi dasar pembangunan ibu kota negara kalimantan timur menteri ppn kepala bappenas suharso monoarfa mengatakan pembangunan ibu kota negara mengusung kota dunia semua tersebut menjadi awal peradaban baru indonesia,positif
170,jprabo,2022-03-01,@CNNIndonesia Persiapan ibu kota negara baru...,persiapan ibu kota negara baru,netral
171,MRidwan11390761,2022-03-01,"@tempodotco Ngapai bingung banyak calon ASN yg siap otw ke ibu kota baru...yg gak nurut aturan negara ya siap"" nanggung resiko dong...ber negara kok se enak udel nya....

Indonesia gak butuh pembangkang..
Silakan mundur teratur klo mau bikin aturan sendiri...beres gitu aja kok repot",ngapai bingung banyak calon asn siap otw ibu kota baru gak nurut aturan negara siap nanggung resiko dong ber negara kok se enak udel nya indonesia gak butuh pembangkang silakan mundur teratur klo mau bikin aturan sendiri beres gitu kok repot,negatif
172,SaifuddinSay,2022-03-01,"@bangZhack86 @Gojekmilitan Sudah diingatkan... 

https://t.co/Oc75nbCF7T",diingatkan,netral
173,mediaindonesia,2022-03-01,"DALAM Rapat Pimpinan (Rapim) TNI-Polri, Ketua DPR Dr (HC) Puan Maharani menyinggung soal pembangunan ibu kota negara (IKN) baru di Kalimantan Timur. Ia menyampaikan usulnya mengenai lokasi Mabes TNI dan Mabes Polri di IKN Nusantara.

Sumber: https://t.co/6gZZZppWPZ",rapat pimpinan rapim tni polri ketua dpr dr hc puan maharani menyinggung soal pembangunan ibu kota negara ibu kota negara baru kalimantan timur menyampaikan usulnya mengenai lokasi mabes tni mabes polri ibu kota negara nusantara sumber,positif
174,PaterStellae,2022-03-01,"@catuaries (maksa) Bikin ibu kota baru
Fanatik
Pengen mensentralisasi semua kekuasaan negara
Mengesampingkan pemuka agama demi agama baru
Bikin bangkrut negara
Ibu kota negara barunya fail abis
Payah soal diplomasi sama negara2 tetangga
Pake anak dan istri buat propaganda",maksa bikin ibu kota baru fanatik pengen mensentralisasi semua kekuasaan negara mengesampingkan pemuka agama agama baru bikin bangkrut negara ibu kota negara barunya fail abis payah soal diplomasi sama negara tetangga pake anak istri buat propaganda,negatif
175,KharismaSang,2022-03-01,"Undang-Undang tentang Ibu Kota Negara akan menjadi dasar pembangunan IKN di Kalimantan Timur. Menteri PPN/Kepala Bappenas Suharso Monoarfa mengatakan, pembangunan IKN yg mengusung “Kota Dunia untuk Semua” tersebut menjadi awal peradaban baru bagi Indonesia
https://t.co/HTpCXHKbnd",undang undang ibu kota negara menjadi dasar pembangunan ibu kota negara kalimantan timur menteri ppn kepala bappenas suharso monoarfa mengatakan pembangunan ibu kota negara mengusung kota dunia semua tersebut menjadi awal peradaban baru indonesia,positif
176,alvan3371_alvan,2022-03-01,"@geloraco Sepertinya negara ini butuh uang demi mensukseskan pembangunan ibu kota baru, makanya segala nya dinaikan",sepertinya negara butuh uang mensukseskan pembangunan ibu kota baru makanya segala nya dinaikan,positif
177,idntimes,2022-03-01,Ada wisata alam hingga budaya https://t.co/qZca4VRbwl,wisata alam hingga budaya,netral
178,OfficialiNewsTV,2022-03-01,"Presiden Joko Widodo (Jokowi) menegaskan kepastian pemindahan Ibu Kota Negara (IKN) baru. Dia meminta tidak ada lagi percakapan penolakan IKN dalam WhatsApp Grup di kalangan TNI-Polri. PAA

#IKN #Jokowi #TNIPolri #TNI #Polri #Indonesia #WhatsApp #iNewsSore #iNews https://t.co/6kHgd4ZpJ8",presiden joko widodo jokowi menegaskan kepastian pemindahan ibu kota negara ibu kota negara baru meminta percakapan penolakan ibu kota negara whatsapp grup kalangan tni polri paa ibu kota negara jokowi tnipolri tni polri indonesia whatsapp inewssore inews,netral
179,serambinews,2022-03-01,"Menteri Pendayagunaan Aparatur Negara dan Reformasi Birokasi menegaskan aparatur sipil negara (ASN) harus siap dipindahkan ke Ibu Kota Negara (IKN) Nusantara.

https://t.co/gqiRnL8Nyz",menteri pendayagunaan aparatur negara reformasi birokasi menegaskan aparatur sipil negara asn siap dipindahkan ibu kota negara ibu kota negara nusantara,netral
180,SydneyX5w,2022-03-01,"https://t.co/doOl2ae2y7

Pemindahan Ibu Kota Negara, Kominfo: Menuju Indonesia Sentris

IKN Baru menuju Indonesia sentris dan tak lagi Jawa sentris.
Narasi utama yang perlu secara konsisten ditegaskan adalah mengapa kita mesti pindah
@PlateJohnny 
@kemkominfo",pemindahan ibu kota negara kominfo menuju indonesia sentris ibu kota negara baru menuju indonesia sentris tak jawa sentris narasi utama perlu konsisten ditegaskan mesti pindah,netral
181,detikfinance,2022-03-01,Rumah dinas jadi salah satu fasilitas bagi para abdi negara yang ikut pindah ke ibu kota negara (IKN) baru.  https://t.co/72HLmMd690,rumah dinas jadi salah satu fasilitas abdi negara ikut pindah ibu kota negara ibu kota negara baru,netral
182,tribunkaltim,2022-03-01,"Gempa baru saja guncang Paser Kaltim, Ibu Kota Negara baru tak sepenuhnya aman dari gempa?
https://t.co/mynLvjEC9S
#Gempa #paser #ibukota #IKN #iknbarunusantara #BeritaTerkini",gempa baru guncang paser kaltim ibu kota negara baru tak sepenuhnya aman gempa gempa paser ibu kota ibu kota negara iknbarunusantara beritaterkini,netral
183,spmedia_jbg,2022-03-01,"Presiden RI, Joko Widodo menetapkan Ibu Kota Negara (IKN) baru di Kalimantan Timur. Proses pemindahan ditargetkan bertahap mulai 2024. https://t.co/KtUQItQF0x",presiden ri joko widodo menetapkan ibu kota negara ibu kota negara baru kalimantan timur proses pemindahan ditargetkan bertahap mulai,netral
184,hariankompas,2022-03-01,"Sebagai pusat pertumbuhan baru, IKN menjadi afirmasi dimulainya hegemoni baru sebagai penyeimbang Jawa dan penyelaras Nusantara. Keselarasan pembangunan pada matra darat dan laut akan membuahkan keseimbangan pembangunan. #Opini #AdadiKompas

https://t.co/i3CYaKCe3a",pusat pertumbuhan baru ibu kota negara menjadi afirmasi dimulainya hegemoni baru penyeimbang jawa penyelaras nusantara keselarasan pembangunan matra darat laut membuahkan keseimbangan pembangunan opini adadikompas,positif
185,AbdinipunGusti,2022-03-01,"ibu kota negara baru akan membuat koloni baru, akankah berhasil menguasai republik ini para oligarki ?",ibu kota negara baru membuat koloni baru akankah berhasil menguasai republik oligarki,netral
186,OOpposih,2022-03-01,"Mahasiswa Sekolah Tinggi Agama Islam Balikpapan menyampaikan mendukung penuh pemindahan ibu kota negara baru ke Kalimantan
#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/pYrXcQyuS4",mahasiswa sekolah tinggi agama islam balikpapan menyampaikan mendukung penuh pemindahan ibu kota negara baru kalimantan ibu kota negara ibu kota negara semangat nusantara,netral
187,arifarianto474,2022-03-01,"Banyak yang setuju atas pemindahan ibu kota negara baru

#IbukotaNegara
#IKN
#SemangatNusantara https://t.co/NhR0hnQXJy",banyak setuju atas pemindahan ibu kota negara baru ibu kota negara ibu kota negara semangat nusantara,positif
188,spmedia_jbg,2022-03-01,"Presiden RI, Joko Widodo menetapkan Ibu Kota Negara (IKN) baru di Kalimantan Timur. Proses pemindahan ditargetkan bertahap mulai 2024. https://t.co/xbYhGy60Ke",presiden ri joko widodo menetapkan ibu kota negara ibu kota negara baru kalimantan timur proses pemindahan ditargetkan bertahap mulai,netral
